Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.059998,75.150002,73.799999,75.089996,74.397125,135480400
2020-01-03,74.760002,75.470001,74.680000,75.110001,74.416916,146322800
2020-01-06,74.949997,75.980003,74.919998,75.580002,74.82690,118387200
2020-01-07,75.629997,75.980003,75.000000,75.20001,74.526733,108872000
2020-01-08,75.410004,76.40002,75.370003,76.260002,75.53970,132079200
2020-01-09,76.769997,77.309998,76.55003,77.029999,76.315918,135159600
2020-01-10,77.010002,77.16998,76.620003,76.820000,76.107971,117844000
2020-01-13,76.910004,77.300003,76.559998,77.239998,76.524391,108772800
2020-01-14,77.339996,77.860001,77.059998,77.59998,76.841835,121196800
2020-01-15,77.59998,78.239998,77.300003,78.169998,77.446953,113876800
